test_key,1,4,7,10
assur44,280.851,268.5635,257.3477,263.9252
benchmark_d1,40.6055,46.4133,49.6483,56.53
benchmark_i1,236.9265,228.2923,243.9688,249.9465
boon,0.0681,0.069,0.0688,0.0698
butcher,2.447,2.5079,2.1592,2.2702
butcher8,17.1133,16.143,15.8654,16.3916
camera1s,1.1577,1.1256,1.2269,1.2123
caprasse,0.0832,0.1088,0.1147,0.1148
cassou,1.9907,1.9585,2.0349,1.9691
chandra4,0.0234,0.0231,0.0275,0.0243
chandra5,0.097,0.097,0.1113,0.1167
chandra6,0.4942,0.497,0.6622,0.6463
chemequ,0.4083,0.3938,0.469,0.4949
chemequs,1.0999,1.0442,1.0071,1.0063
chemkin,519.3553,519.2488,501.7897,518.4971
cohn2,3.339,3.3295,2.8376,3.0195
cohn3,7193.2137,4765.2788,3899.1615,7200.0
comb3000,0.1001,0.1007,0.1229,0.1222
comb3000s,0.1231,0.1229,0.1341,0.1435
conform1,0.0218,0.0224,0.0218,0.0226
cpdm5,40.4242,40.1006,35.4565,34.855
cyclic5,0.2456,0.2274,0.3107,0.3038
cyclic6,10.5899,12.5707,10.9007,11.1207
d1,50.163,46.6541,48.7535,64.5426
des18_3,3.6478,3.3026,3.3199,3.3019
des22_24,3.8412,4.1951,4.7241,4.7538
dessin1,3.2411,3.2601,3.3885,3.3312
dessin2,5.8723,6.0731,6.6393,6.3662
eco7,1.4492,1.6127,1.8148,1.585
eco8,15.8889,13.3321,14.2908,13.3733
eco9,201.3882,161.707,158.9366,147.4698
extcyc4,0.2945,0.3082,0.3136,0.3536
extcyc5,58.2118,59.3014,82.2014,57.3026
f633,0.9916,0.9744,1.1739,1.2664
f744,292.9767,194.7977,218.8186,248.8223
fabrice24,129.703,127.6233,102.2984,107.0555
filter9,130.3638,138.8264,124.5354,131.8091
geneig,0.5113,0.5121,0.5341,0.5654
hairer1,0.0319,0.029,0.0328,0.033
hcyclic5,0.1508,0.1514,0.1416,0.1435
hcyclic6,4.8576,4.6471,4.7732,5.139
heart,0.0636,0.0635,0.0654,0.0728
hemmecke,0.0417,0.0412,0.0433,0.0443
hf744,157.1182,159.3143,166.8046,170.3877
hietarinta1,165.1406,97.7933,109.2176,104.7822
hunecke,0.0052,0.0052,0.0054,0.0055
i1,227.915,281.7833,217.301,247.5926
issac97,0.1155,0.1109,0.1365,0.1383
jcf26,173.0036,179.2177,156.632,166.6975
katsura6,5.7753,6.1401,5.6551,5.858
katsura7,49.1065,48.7487,48.6636,48.862
katsura8,451.5091,432.7377,456.909,437.3055
kin1,47.917,42.9875,43.4047,43.6965
kinema,6.2215,4.8445,5.1399,5.2514
kotsireas,357.3355,288.2493,406.1549,915.9244
ku10,0.104,0.102,0.1215,0.1198
lanconelli,0.0037,0.0124,0.0037,0.0131
lichtblau,0.6082,0.5889,0.6086,0.6119
liu,0.0399,0.0326,0.0411,0.0371
lorentz,0.0242,0.0202,0.0238,0.0204
matrix,1.8916,1.9558,1.9651,1.9636
mickey,0.0002,0.0002,0.0002,0.0003
morgenstern,0.1517,0.1548,0.1585,0.1541
noon5,6.3546,6.2876,6.8472,6.9507
noon6,168.4159,170.5402,173.0261,174.1532
puma,0.046,0.0464,0.0531,0.0533
quadfor2,0.0015,0.0015,0.0016,0.0017
quadgrid,0.0243,0.0239,0.0266,0.0264
rabmo,1.9586,1.952,1.9396,1.9423
rbpl,114.1962,221.3794,142.4944,204.922
rbpl24,125.1279,124.1766,136.6937,101.1834
redcyc5,0.2303,0.2287,0.2442,0.2358
redcyc6,9.3862,9.468,10.1751,9.4922
redeco10,140.0256,137.657,146.5777,149.3948
redeco7,0.3853,0.3679,0.5621,0.5444
redeco8,2.9068,2.7994,3.5743,3.4991
redeco9,19.209,20.1146,21.9579,22.6532
reif,0.0795,0.0787,0.0825,0.0792
reimer4,4.07,4.072,4.2434,4.3392
reimer5,76.2669,75.7073,78.308,79.2203
rose,0.1954,0.1899,0.2013,0.1963
s9_1,0.0603,0.0546,0.0598,0.0583
solotarev,0.0077,0.0078,0.008,0.008
sparse5,0.0015,0.0015,0.0015,0.0016
speer,7.8008,8.7966,9.5256,8.8786
tangents,1.4777,1.4102,1.5183,1.544
test,0.0058,0.0058,0.006,0.0058
uteshev_bikker,0.3977,0.3796,0.4562,0.4697
vermeer,0.7335,0.757,1.0661,0.7902
